UserID,UserNo,IP Address,Date Ended,Q1.1. CQC number,Q7.1. Not enough tablet devices for staff to use for this purpose,"Q7.2. Our tablet devices are not good enough (ie they're too old / slow / do not have the right features)",Q7.3. Our tablets are reserved for - or locked down to - other things and cannot be used for remote consultations,(CQC)_Care home beds,(survey)_Q4.1. Current number of devices,Flag 1,Flag 2,Flag 3,Flag 4,Flag 5,Flag 6,Priority,Number of iPads
140000000,1,111.111.11.11,44092,1-1000000000,FALSE,TRUE,TRUE,4,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000001,2,111.111.11.12,44092,1-1000000001,TRUE,FALSE,TRUE,26,3,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000002,3,111.111.11.13,44092,1-1000000002,TRUE,TRUE,FALSE,31,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000003,4,111.111.11.14,44092,1-1000000003,TRUE,TRUE,TRUE,32,1,Less than 40 Residents,,Devices adequate,,Has less than two devices,Enough devices,Ineligible,0
140000004,5,111.111.11.15,44092,1-1000000004,TRUE,FALSE,TRUE,72,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000006,7,111.111.11.17,44092,1-1000000006,FALSE,FALSE,FALSE,23,1,Less than 40 Residents,,Devices adequate,,Has less than two devices,Enough devices,Ineligible,0
140000007,8,111.111.11.18,44092,1-1000000007,TRUE,FALSE,FALSE,32,1,Less than 40 Residents,,Devices adequate,,Has less than two devices,Enough devices,Ineligible,0
140000008,9,111.111.11.19,44092,1-1000000008,FALSE,TRUE,TRUE,43,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000010,11,111.111.11.21,44092,1-1000000010,FALSE,FALSE,TRUE,11,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000011,12,111.111.11.22,44092,1-1000000011,TRUE,FALSE,FALSE,16,3,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000005,6,111.111.11.16,44092,1-1000000005,FALSE,FALSE,FALSE,42,1,More than 40 Residents,,Devices adequate,Only one Current Device,,,Priority One,1
140000009,10,111.111.11.20,44092,1-1000000009,TRUE,FALSE,FALSE,13,0,Less than 40 Residents,No current devices,,,,,Priority One,1
140000012,13,111.111.11.23,44092,1-1000000012,FALSE,TRUE,TRUE,69,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000013,14,111.111.11.24,44092,1-1000000013,TRUE,FALSE,FALSE,52,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000014,15,111.111.11.25,44092,1-1000000014,TRUE,TRUE,FALSE,29,1,Less than 40 Residents,,Devices adequate,,Has less than two devices,Enough devices,Ineligible,0
140000015,16,111.111.11.26,44092,1-1000000015,FALSE,FALSE,TRUE,46,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000016,17,111.111.11.27,44092,1-1000000016,TRUE,FALSE,TRUE,40,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000017,18,111.111.11.28,44092,1-1000000017,FALSE,FALSE,FALSE,99,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000018,19,111.111.11.29,44092,1-1000000018,TRUE,TRUE,FALSE,48,1,More than 40 Residents,,Devices adequate,Only one Current Device,,,Priority One,1
140000019,20,111.111.11.30,44092,1-1000000019,FALSE,FALSE,TRUE,49,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
