UserID,UserNo,IP Address,Date Ended,Q1.1. CQC number,Q4.1. Number of Devices,Q7.1. Not enough tablet devices for staff to use for this purpose,Q7.2. Our tablet devices are not good enough (ie they're too old / slow / do not have the right features),Q7.3. Our tablets are reserved for - or locked down to - other things and cannot be used for remote consultations,(CQC)_Care home beds
140000000,1,111.111.11.11,44092,1-1000000000,4+,FALSE,TRUE,TRUE,4
140000001,2,111.111.11.12,44092,1-1000000001,3,TRUE,FALSE,TRUE,26
140000002,3,111.111.11.13,44092,1-1000000002,4+,TRUE,TRUE,FALSE,31
140000003,4,111.111.11.14,44092,1-1000000003,1,TRUE,TRUE,TRUE,32
140000004,5,111.111.11.15,44092,1-1000000004,3,TRUE,FALSE,TRUE,72
140000005,6,111.111.11.16,44092,1-1000000005,1,FALSE,FALSE,FALSE,42
140000006,7,111.111.11.17,44092,1-1000000006,1,FALSE,FALSE,FALSE,23
140000007,8,111.111.11.18,44092,1-1000000007,1,TRUE,FALSE,FALSE,32
140000008,9,111.111.11.19,44092,1-1000000008,2,FALSE,TRUE,TRUE,43
140000009,10,111.111.11.20,44092,1-1000000009,None,TRUE,FALSE,FALSE,13
140000010,11,111.111.11.21,44092,1-1000000010,4+,FALSE,FALSE,TRUE,11
140000011,12,111.111.11.22,44092,1-1000000011,3,TRUE,FALSE,FALSE,16
140000012,13,111.111.11.23,44092,1-1000000012,None,FALSE,TRUE,TRUE,69
140000013,14,111.111.11.24,44092,1-1000000013,4+,TRUE,FALSE,FALSE,52
140000014,15,111.111.11.25,44092,1-1000000014,1,TRUE,TRUE,FALSE,29
140000015,16,111.111.11.26,44092,1-1000000015,4+,FALSE,FALSE,TRUE,46
140000016,17,111.111.11.27,44092,1-1000000016,None,TRUE,FALSE,TRUE,40
140000017,18,111.111.11.28,44092,1-1000000017,2,FALSE,FALSE,FALSE,99
140000018,19,111.111.11.29,44092,1-1000000018,1,TRUE,TRUE,FALSE,48
140000019,20,111.111.11.30,44092,1-1000000019,4+,FALSE,FALSE,TRUE,49
140000020,21,111.111.11.31,44092,1-1000000020,3,FALSE,FALSE,TRUE,53
140000021,22,111.111.11.32,44092,1-1000000021,2,FALSE,TRUE,FALSE,59
140000022,23,111.111.11.33,44092,1-1000000022,2,FALSE,FALSE,FALSE,74
140000023,24,111.111.11.34,44092,1-1000000023,2,FALSE,TRUE,TRUE,95
140000024,25,111.111.11.35,44092,1-1000000024,2,FALSE,FALSE,TRUE,95
140000025,26,111.111.11.36,44092,1-1000000025,2,TRUE,FALSE,TRUE,59
140000026,27,111.111.11.37,44092,1-1000000026,2,TRUE,FALSE,TRUE,63
140000027,28,111.111.11.38,44092,1-1000000027,3,TRUE,TRUE,FALSE,86
140000028,29,111.111.11.39,44092,1-1000000028,3,TRUE,TRUE,TRUE,2
140000029,30,111.111.11.40,44092,1-1000000029,4+,TRUE,TRUE,FALSE,35
140000030,31,111.111.11.41,44092,1-1000000030,2,FALSE,TRUE,TRUE,65
140000031,32,111.111.11.42,44092,1-1000000031,4+,TRUE,FALSE,TRUE,18
140000032,33,111.111.11.43,44092,1-1000000032,1,FALSE,FALSE,FALSE,87
140000033,34,111.111.11.44,44092,1-1000000033,3,FALSE,TRUE,TRUE,45
140000034,35,111.111.11.45,44092,1-1000000034,4+,TRUE,TRUE,TRUE,77
140000035,36,111.111.11.46,44092,1-1000000035,None,TRUE,TRUE,TRUE,74
140000036,37,111.111.11.47,44092,1-1000000036,4+,TRUE,TRUE,FALSE,72
140000037,38,111.111.11.48,44092,1-1000000037,4+,FALSE,FALSE,TRUE,68
140000038,39,111.111.11.49,44092,1-1000000038,None,TRUE,FALSE,TRUE,44
140000039,40,111.111.11.50,44092,1-1000000039,4+,TRUE,FALSE,TRUE,10
140000040,41,111.111.11.51,44092,1-1000000040,None,TRUE,TRUE,TRUE,88
140000041,42,111.111.11.52,44092,1-1000000041,1,FALSE,FALSE,TRUE,17
140000042,43,111.111.11.53,44092,1-1000000042,None,FALSE,FALSE,TRUE,97
140000043,44,111.111.11.54,44092,1-1000000043,None,FALSE,TRUE,FALSE,21
140000044,45,111.111.11.55,44092,1-1000000044,4+,FALSE,FALSE,TRUE,99
140000045,46,111.111.11.56,44092,1-1000000045,4+,TRUE,FALSE,FALSE,100
140000046,47,111.111.11.57,44092,1-1000000046,2,TRUE,FALSE,FALSE,26
140000047,48,111.111.11.58,44092,1-1000000047,3,TRUE,TRUE,FALSE,50
140000048,49,111.111.11.59,44092,1-1000000048,1,TRUE,FALSE,TRUE,39
140000049,50,111.111.11.60,44092,1-1000000049,4+,FALSE,FALSE,FALSE,74
140000050,51,111.111.11.61,44092,1-1000000050,None,FALSE,TRUE,TRUE,88
140000051,52,111.111.11.62,44092,1-1000000051,None,TRUE,FALSE,FALSE,1
140000052,53,111.111.11.63,44092,1-1000000052,4+,TRUE,FALSE,FALSE,67
140000053,54,111.111.11.64,44092,1-1000000053,2,TRUE,TRUE,FALSE,2
140000054,55,111.111.11.65,44092,1-1000000054,4+,TRUE,FALSE,FALSE,71
